epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,208.959,1.8474,3.52759,1.51682,0.49534,0.11571,0.10717,0.04248,2.13494,3.88805,1.86425,0.000553444,0.000553444,0.000553444
2,484.946,2.05328,3.31673,1.6798,0.06955,0.07379,0.02822,0.00952,2.31644,4.1529,1.9326,0.00108715,0.00108715,0.00108715
3,800.976,2.16124,3.22221,1.79292,0.06526,0.11745,0.02367,0.01003,2.47444,3.86101,2.11952,0.00159885,0.00159885,0.00159885
4,1133.1,2.14781,3.14097,1.77113,0.16666,0.12252,0.05174,0.02262,2.27973,3.07379,1.95503,0.00156798,0.00156798,0.00156798
5,1465.63,2.13415,3.06813,1.79841,0.1643,0.1123,0.0545,0.02523,2.27587,3.29943,1.96185,0.00153497,0.00153497,0.00153497
6,1795.44,2.03487,2.92881,1.71485,0.10942,0.11077,0.06158,0.03287,2.23082,3.47984,1.91157,0.00150197,0.00150197,0.00150197
7,2135.52,2.01829,2.86945,1.70849,0.12328,0.11554,0.06753,0.03572,2.2294,3.13595,1.88061,0.00146896,0.00146896,0.00146896
8,2468.91,1.96837,2.82746,1.67437,0.2568,0.13079,0.09215,0.04898,2.08972,2.77565,1.81332,0.00143595,0.00143595,0.00143595
9,2810.21,1.93478,2.74654,1.63963,0.15339,0.15533,0.08362,0.04389,2.05044,2.7915,1.71911,0.00140295,0.00140295,0.00140295
10,3148.22,1.89869,2.65872,1.63171,0.14101,0.16931,0.06549,0.03428,2.03436,2.72283,1.69722,0.00136994,0.00136994,0.00136994
11,3485.75,1.86703,2.58575,1.59583,0.28447,0.20413,0.12982,0.05528,2.00824,2.724,1.7223,0.00133693,0.00133693,0.00133693
12,3825.73,1.81003,2.51793,1.58219,0.21863,0.16922,0.11124,0.05745,2.00171,2.60504,1.69288,0.00130393,0.00130393,0.00130393
13,4152.61,1.8014,2.4617,1.5588,0.19611,0.1924,0.13426,0.07151,1.97848,2.53306,1.67624,0.00127092,0.00127092,0.00127092
14,4483.59,1.80934,2.50329,1.56468,0.29627,0.16217,0.13283,0.07492,1.89314,2.59244,1.6412,0.00123791,0.00123791,0.00123791
15,4814.65,1.76118,2.41251,1.53143,0.1926,0.20314,0.14015,0.07709,1.93883,2.46788,1.72575,0.00120491,0.00120491,0.00120491
16,5139.5,1.75182,2.35419,1.5462,0.18161,0.24634,0.16389,0.09982,1.91423,2.50818,1.68736,0.0011719,0.0011719,0.0011719
17,5467.42,1.71935,2.33437,1.50191,0.23897,0.23091,0.15152,0.08351,1.88998,2.57602,1.67197,0.00113889,0.00113889,0.00113889
18,5794.49,1.72137,2.31397,1.50232,0.24793,0.2494,0.1787,0.08696,1.90555,2.54347,1.67523,0.00110589,0.00110589,0.00110589
19,6118.93,1.71695,2.26616,1.50363,0.31128,0.22929,0.19888,0.11952,1.81421,2.29783,1.55141,0.00107288,0.00107288,0.00107288
20,6445.41,1.6557,2.21645,1.46247,0.37901,0.21847,0.21375,0.10844,1.82844,2.32411,1.55871,0.00103987,0.00103987,0.00103987
21,6761.9,1.64563,2.15482,1.45379,0.25358,0.27531,0.19037,0.10403,1.7858,2.34545,1.51587,0.00100687,0.00100687,0.00100687
22,7075.99,1.65821,2.17561,1.44243,0.38241,0.23147,0.22079,0.13171,1.80072,2.30508,1.54406,0.000973861,0.000973861,0.000973861
23,7390.67,1.60615,2.05324,1.41842,0.31225,0.22469,0.20727,0.11413,1.8055,2.32209,1.57253,0.000940855,0.000940855,0.000940855
24,7706.81,1.59526,2.07673,1.39547,0.52228,0.19709,0.21467,0.11562,1.83345,2.25302,1.54485,0.000907848,0.000907848,0.000907848
25,8030.66,1.58967,2.03058,1.40788,0.32816,0.25861,0.20009,0.10761,1.83291,2.2728,1.59403,0.000874842,0.000874842,0.000874842
26,8343.58,1.55816,2.00163,1.38316,0.49047,0.23569,0.25129,0.14392,1.78716,2.22178,1.54742,0.000841835,0.000841835,0.000841835
27,8665.34,1.57941,1.98752,1.38661,0.3807,0.25699,0.23582,0.14259,1.80014,2.24589,1.53209,0.000808828,0.000808828,0.000808828
28,8982.22,1.52128,1.9169,1.35214,0.39384,0.27386,0.24344,0.14242,1.82203,2.22321,1.5355,0.000775822,0.000775822,0.000775822
29,9303.85,1.52629,1.91091,1.34882,0.25311,0.21992,0.17626,0.1082,1.8106,2.27339,1.58171,0.000742815,0.000742815,0.000742815
30,9618.63,1.51894,1.90557,1.33915,0.35683,0.26321,0.23426,0.13499,1.77104,2.17981,1.50222,0.000709809,0.000709809,0.000709809
31,9931.16,1.50423,1.87664,1.34385,0.42668,0.27863,0.27409,0.16321,1.73382,2.13041,1.50279,0.000676802,0.000676802,0.000676802
32,10250.1,1.46132,1.81172,1.32762,0.35013,0.27197,0.24569,0.14712,1.75588,2.20681,1.51179,0.000643795,0.000643795,0.000643795
33,10573.7,1.47449,1.81133,1.32831,0.36507,0.34944,0.25914,0.15303,1.74497,2.15605,1.51806,0.000610789,0.000610789,0.000610789
34,10888.3,1.45723,1.75696,1.30947,0.42089,0.27701,0.24308,0.1425,1.71423,2.17259,1.48702,0.000577782,0.000577782,0.000577782
35,11201.5,1.44837,1.73588,1.30486,0.25489,0.26906,0.21867,0.13099,1.71899,2.15194,1.49001,0.000544776,0.000544776,0.000544776
36,11526.3,1.44094,1.76264,1.30271,0.41573,0.29318,0.25669,0.14732,1.70826,2.0386,1.48359,0.000511769,0.000511769,0.000511769
37,11840.6,1.41068,1.64284,1.2773,0.6094,0.25102,0.29483,0.1737,1.718,2.1158,1.49116,0.000478762,0.000478762,0.000478762
38,12170,1.39354,1.64212,1.27952,0.39249,0.29388,0.28795,0.1748,1.73041,2.1484,1.49282,0.000445756,0.000445756,0.000445756
39,12449.7,1.37813,1.62791,1.26884,0.31242,0.33862,0.26386,0.15818,1.75521,2.13604,1.5398,0.000412749,0.000412749,0.000412749
