epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.6666,1.7801,3.66567,1.44912,0.00255,0.39659,0.03572,0.02237,1.83364,3.57789,1.49953,0.000546847,0.000546847,0.000546847
2,91.4885,1.87896,3.27921,1.56282,0.12659,0.09385,0.03361,0.02205,2.09204,3.64776,1.68813,0.00108068,0.00108068,0.00108068
3,140.275,1.99574,3.37211,1.6004,0.62757,0.04444,0.05123,0.03657,2.27315,3.87978,1.87759,0.00159252,0.00159252,0.00159252
4,192.196,2.1389,3.33744,1.71846,0.01154,0.11503,0.00426,0.00206,2.46378,5.7371,2.02889,0.00156798,0.00156798,0.00156798
5,246.976,2.10474,3.19853,1.72531,0.1198,0.08513,0.04353,0.02756,2.34279,3.74104,1.91332,0.00153497,0.00153497,0.00153497
6,301.86,2.02108,3.08377,1.67343,0.16444,0.13248,0.07029,0.04236,2.45757,3.66181,1.98919,0.00150197,0.00150197,0.00150197
7,363.131,2.06464,3.02693,1.7262,0.06498,0.08217,0.02062,0.00849,2.2646,3.51055,1.95148,0.00146896,0.00146896,0.00146896
8,422.997,1.99911,2.96937,1.65456,0.11479,0.05897,0.02451,0.01098,2.38155,3.5789,2.04639,0.00143595,0.00143595,0.00143595
9,483.628,1.95735,2.80471,1.63685,0.21368,0.08596,0.05457,0.02689,2.22067,3.20752,1.90613,0.00140295,0.00140295,0.00140295
10,550.618,1.86808,2.75037,1.56946,0.28299,0.06769,0.0721,0.04294,2.12657,3.10554,1.75855,0.00136994,0.00136994,0.00136994
11,617.481,1.915,2.58859,1.58929,0.199,0.09095,0.08883,0.05067,2.02347,2.83771,1.73295,0.00133693,0.00133693,0.00133693
12,684.713,1.82867,2.54942,1.53431,0.21346,0.08015,0.05351,0.02021,2.18694,3.08451,1.84317,0.00130393,0.00130393,0.00130393
13,750.316,1.86719,2.48896,1.54015,0.11342,0.11213,0.06506,0.04007,2.26222,3.22445,1.84573,0.00127092,0.00127092,0.00127092
14,819.516,1.88292,2.50856,1.55132,0.24864,0.08513,0.05182,0.02661,2.15394,3.37035,1.81527,0.00123791,0.00123791,0.00123791
15,885.672,1.74047,2.45665,1.51916,0.302,0.05606,0.05711,0.03714,2.00008,3.05134,1.67013,0.00120491,0.00120491,0.00120491
16,954.185,1.81348,2.36679,1.50409,0.13028,0.12583,0.04806,0.02792,2.02824,2.93352,1.78303,0.0011719,0.0011719,0.0011719
17,1023.47,1.69519,2.25213,1.46604,0.13818,0.09967,0.0755,0.04768,2.03943,3.00777,1.7468,0.00113889,0.00113889,0.00113889
18,1093.55,1.71613,2.24139,1.43954,0.16,0.174,0.08087,0.04527,2.02418,3.01855,1.70005,0.00110589,0.00110589,0.00110589
19,1160.76,1.73616,2.22214,1.4583,0.31008,0.10257,0.10604,0.06675,2.05313,2.74007,1.68964,0.00107288,0.00107288,0.00107288
20,1230.26,1.67616,2.18714,1.46284,0.37135,0.08513,0.0934,0.05713,2.03347,2.80539,1.68437,0.00103987,0.00103987,0.00103987
21,1298.8,1.66091,2.10094,1.42474,0.20351,0.1453,0.0953,0.06096,2.01995,2.93237,1.70094,0.00100687,0.00100687,0.00100687
22,1366.77,1.62128,2.05999,1.39639,0.17943,0.1441,0.09565,0.04025,1.90289,2.8802,1.5785,0.000973861,0.000973861,0.000973861
23,1437.64,1.65592,2.03673,1.41381,0.37162,0.11877,0.13729,0.0628,2.02433,3.07541,1.68702,0.000940855,0.000940855,0.000940855
24,1506.47,1.64678,1.99048,1.39815,0.12403,0.18272,0.06546,0.03613,2.08262,3.1324,1.73825,0.000907848,0.000907848,0.000907848
25,1575.01,1.56568,1.93448,1.33354,0.15586,0.19145,0.09795,0.05783,1.99694,2.82508,1.66044,0.000874842,0.000874842,0.000874842
26,1645.21,1.52643,1.95732,1.35361,0.2789,0.17076,0.1459,0.08512,1.84708,2.72928,1.60078,0.000841835,0.000841835,0.000841835
27,1716.11,1.54596,1.90761,1.36071,0.17839,0.17982,0.11011,0.06803,1.94677,2.8985,1.66952,0.000808828,0.000808828,0.000808828
28,1787.67,1.51484,1.81375,1.33586,0.11289,0.12874,0.11072,0.06713,1.99453,2.79745,1.74701,0.000775822,0.000775822,0.000775822
29,1858.86,1.5662,1.82359,1.32362,0.22301,0.16238,0.15003,0.08532,2.07487,2.84269,1.76856,0.000742815,0.000742815,0.000742815
30,1929.16,1.51592,1.77466,1.31266,0.54981,0.09468,0.11995,0.07171,2.13277,2.9786,1.82734,0.000709809,0.000709809,0.000709809
